"id","NbrePages10ID","livreID"
"1236","56","1236"
"1237","29","1237"
"1238","17","1238"
"1239","24","1239"
"1240","35","1240"
"1241","20","1241"
"1242","4","1242"
"1243","29","1243"
"1244","97","1244"
"1245","49","1245"
"1246","25","1246"
"1247","43","1247"
"1248","49","1248"
"1249","46","1249"
"1250","152","1250"
"1251","1","1251"
"1252","43","1252"
"1253","34","1253"
"1254","8","1254"
"1255","33","1255"
"1256","16","1256"
"1257","16","1257"
"1258","43","1258"
"1259","15","1259"
"1260","37","1260"
"1261","36","1261"
"1262","16","1262"
"1263","26","1263"
"1264","15","1264"
"1265","14","1265"
"1266","25","1266"
"1267","106","1267"
"1268","28","1268"
"1269","11","1269"
"1270","54","1270"
"1271","18","1271"
"1272","25","1272"
"1273","123","1273"
"1274","27","1274"
"1275","44","1275"
"1276","31","1276"
"1277","58","1277"
"1278","47","1278"
"1279","67","1279"
"1280","73","1280"
"1281","27","1281"
"1282","23","1282"
"1283","72","1283"
"1284","27","1284"
"1285","15","1285"
"1286","11","1286"
"1287","43","1287"
"1288","10","1288"
"1289","17","1289"
"1290","1","1290"
"1291","1","1291"
"1292","1","1292"
"1293","1","1293"
"1294","1","1294"
"1295","1","1295"
"1296","1","1296"
"1297","1","1297"
"1298","1","1298"
"1299","1","1299"
"1300","1","1300"
"1301","1","1301"
"1302","1","1302"
"1303","40","1303"
"1304","27","1304"
"1305","26","1305"
"1306","1","1306"
"1307","1","1307"
"1308","1","1308"
"1309","7","1309"
"1310","1","1310"
"1311","18","1311"
"1312","23","1312"
"1313","1","1313"
"1314","68","1314"
"1315","1","1315"
"1316","1","1316"
"1317","1","1317"
"1318","33","1318"
"1319","23","1319"
"1320","65","1320"
"1321","25","1321"
"1322","19","1322"
"1323","26","1323"
"1324","49","1324"
"1325","18","1325"
"1326","16","1326"
"1327","19","1327"
"1328","21","1328"
"1329","44","1329"
"1330","31","1330"
"1331","15","1331"
"1332","24","1332"
"1333","19","1333"
"1334","50","1334"
"1335","26","1335"
"1336","28","1336"
"1337","14","1337"
"1338","45","1338"
"1339","52","1339"
