"id","note_allocine_publicID","filmID"
"2650","22","3261"
"2651","25","3262"
"2652","17","3263"
"2653","24","3264"
"2654","25","3265"
"2655","20","3266"
"2656","27","3267"
"2657","21","3268"
"2658","17","3269"
"2659","19","3270"
"2660","27","3271"
"2661","29","3272"
"2662","17","3273"
"2663","19","3274"
"2664","19","3276"
"2665","23","3279"
"2666","22","3281"
"2667","19","3282"
"2668","23","3284"
"2669","21","3285"
"2670","21","3286"
"2671","25","3287"
"2672","19","3288"
"2673","21","3289"
"2674","25","3290"
"2675","19","3291"
"2676","22","3292"
"2677","24","3294"
"2678","19","3295"
"2679","18","3300"
"2680","20","3301"
"2681","21","3302"
"2682","21","3303"
"2683","27","3304"
"2684","18","3305"
"2685","18","3306"
"2686","19","3307"
"2687","21","3309"
"2688","17","3310"
"2689","28","3311"
"2690","24","3312"
"2691","23","3313"
"2692","28","3314"
"2693","20","3315"
"2694","18","3316"
"2695","20","3317"
"2696","19","3318"
"2697","25","3319"
"2698","28","3320"
"2699","19","3321"
"2700","25","3322"
"2701","21","3324"
"2702","18","3325"
"2703","18","3326"
"2704","20","3327"
"2705","25","3329"
"2706","9","3331"
"2707","19","3332"
"2708","28","3333"
"2709","28","3334"
"2710","16","3335"
"2711","27","3337"
"2712","24","3338"
"2713","23","3339"
"2714","28","3340"
"2715","19","3342"
"2716","19","3343"
"2717","28","3346"
"2718","16","3347"
"2719","16","3348"
"2720","19","3349"
"2721","21","3350"
"2722","26","3352"
"2723","19","3353"
"2724","31","3356"
"2725","19","3357"
"2726","25","3358"
"2727","23","3359"
"2728","23","3360"
"2729","21","3361"
"2730","27","3362"
"2731","16","3363"
"2732","20","3364"
"2733","24","3365"
"2734","19","3366"
"2735","16","3368"
"2736","12","3369"
"2737","19","3370"
"2738","28","3371"
"2739","17","3372"
"2740","24","3373"
"2741","20","3374"
"2742","18","3375"
"2743","21","3376"
"2744","24","3377"
"2745","32","3378"
"2746","26","3379"
"2747","25","3380"
"2748","28","3381"
"2749","18","3382"
"2750","20","3384"
"2751","21","3385"
"2752","23","3386"
"2753","16","3387"
"2754","19","3392"
"2755","27","3395"
"2756","25","3396"
"2757","13","3397"
"2758","26","3398"
"2759","29","3400"
"2760","23","3401"
"2761","17","3402"
"2762","29","3403"
"2763","15","3405"
"2764","19","3408"
"2765","20","3409"
"2766","25","3410"
"2767","19","3411"
"2768","21","3412"
"2769","30","3419"
"2770","24","3420"
"2771","21","3421"
"2772","21","3422"
"2773","19","3423"
"2774","19","3424"
"2775","20","3425"
"2776","22","3426"
"2777","27","3430"
"2778","16","3431"
"2779","18","3432"
"2780","21","3434"
"2781","16","3435"
"2782","20","3436"
"2783","32","3438"
"2784","20","3440"
"2785","20","3441"
"2786","25","3443"
"2787","26","3445"
"2788","20","3447"
"2789","19","3449"
"2790","21","3452"
"2791","19","3453"
"2792","27","3455"
"2793","18","3456"
"2794","20","3457"
"2795","17","3459"
"2796","19","3461"
"2797","20","3462"
"2798","20","3464"
"2799","18","3465"
"2800","19","3466"
"2801","19","3467"
"2802","18","3469"
"2803","20","3471"
"2804","20","3472"
"2805","20","3473"
"2806","27","3474"
"2807","20","3479"
"2808","19","3480"
"2809","27","3481"
"2810","19","3485"
"2811","25","3488"
"2812","24","3489"
"2813","24","3490"
"2814","19","3491"
"2815","26","3492"
"2816","20","3493"
"2817","29","3494"
"2818","21","3495"
"2819","26","3496"
"2820","20","3497"
"2821","18","3498"
"2822","20","3504"
"2823","19","3507"
"2824","14","3511"
"2825","19","3513"
"2826","27","3514"
"2827","31","3515"
"2828","19","3517"
"2829","19","3519"
"2830","19","3522"
"2831","20","3523"
"2832","21","3524"
"2833","19","3525"
"2834","18","3526"
"2835","19","3527"
"2836","30","3529"
"2837","19","3530"
"2838","24","3531"
"2839","17","3532"
"2840","20","3535"
"2841","4","3536"
"2842","19","3537"
"2843","25","3538"
"2844","19","3539"
"2845","18","3540"
"2846","18","3541"
"2847","18","3542"
"2848","20","3545"
"2849","22","3546"
"2850","29","3547"
"2851","19","3549"
"2852","19","3550"
"2853","22","3551"
"2854","29","3552"
"2855","19","3554"
"2856","17","3555"
"2857","22","3556"
"2858","25","3558"
"2859","23","3559"
"2860","21","3560"
"2861","25","3561"
"2862","18","3562"
"2863","20","3563"
"2864","22","3564"
"2865","28","3566"
"2866","23","3567"
"2867","20","3568"
"2868","20","3569"
"2869","29","3570"
"2870","18","3571"
"2871","20","3572"
"2872","18","3573"
"2873","20","3574"
"2874","20","3575"
"2875","19","3579"
"2876","20","3580"
